encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.4980825697875261,0.4923953220626553,0.49738,0.4982423152387181,0.4866839688560591,1.3794245719909668,9552,kip_m6,2026-09-10T15:37:54.027911
basic,0.1,40000,50000,0.5012035574995263,0.4473888629957609,0.50202,0.5036478113132121,0.4024356158913955,1.7572991847991943,9552,kip_m6,2026-09-10T15:37:56.002145
basic,0.3,120000,50000,0.4963312169131428,0.4847803881511747,0.4956,0.49633967789165445,0.47374725494110603,5.939839124679565,9552,kip_m6,2026-09-10T15:38:02.162881
basic,0.5,200000,50000,0.497787594431806,0.528445813918533,0.49804,0.49905958337769263,0.5615092832900779,5.260998964309692,9552,kip_m6,2026-09-10T15:38:07.644589
basic,0.75,300000,50000,0.500901923722233,0.4807308970099668,0.49984,0.5008003460956089,0.4622080255540028,4.283665657043457,9552,kip_m6,2026-09-10T15:38:12.147082
basic,1.0,400000,50000,0.5030343002311327,0.4915271518587247,0.5013,0.5022922397265983,0.481213815132761,8.352017164230347,9552,kip_m6,2026-09-10T15:38:20.718783
categorical,0.01,4000,50000,0.5033462220417594,0.5033893899098162,0.5033,0.5042060567216792,0.5025753643441805,4.341491937637329,9552,kip_m6,2026-09-10T15:38:25.283964
categorical,0.1,40000,50000,0.5014098853680286,0.49839370331700267,0.50036,0.5012722646310432,0.495548013575564,1.8488945960998535,9552,kip_m6,2026-09-10T15:38:27.354325
categorical,0.3,120000,50000,0.49805491849793593,0.5012506451740978,0.49752,0.49844052272099176,0.5040926332601318,2.5441956520080566,9552,kip_m6,2026-09-10T15:38:30.116836
categorical,0.5,200000,50000,0.4980783865739725,0.5060392403323055,0.49698,0.4979514533085962,0.5143940906368537,6.096013784408569,9552,kip_m6,2026-09-10T15:38:36.435601
categorical,0.75,300000,50000,0.5005348329328587,0.49990987923817914,0.50058,0.5014866602378656,0.4983429826312637,6.984087705612183,9552,kip_m6,2026-09-10T15:38:43.634827
categorical,1.0,400000,50000,0.503579489197545,0.5256939665060794,0.5038,0.5043098705204856,0.5489718506687962,5.170552730560303,9552,kip_m6,2026-09-10T15:38:49.034924
tfidf,0.01,4000,50000,0.49967617415080423,0.6182636104905591,0.50104,0.5012032052395247,0.8066679976043123,8.156689882278442,9552,kip_m6,2026-09-10T15:38:57.433689
tfidf,0.1,40000,50000,0.4988835931828419,0.28782810816939736,0.49752,0.4961399394117072,0.20271511279696547,7.460224151611328,9552,kip_m6,2026-09-10T15:39:05.115285
tfidf,0.3,120000,50000,0.49582199286325684,0.49939278106273266,0.4971,0.4980146124523507,0.5007785985226593,12.477455377578735,9552,kip_m6,2026-09-10T15:39:17.818041
tfidf,0.5,200000,50000,0.498845923460792,0.3522197315194146,0.49718,0.4965131483364812,0.2729087642243961,14.274706602096558,9552,kip_m6,2026-09-10T15:39:32.319366
tfidf,0.75,300000,50000,0.5023059834713864,0.5185585516030033,0.50114,0.5019055447616201,0.5363545617887802,17.5202476978302,9552,kip_m6,2026-09-10T15:39:50.072938
tfidf,1.0,400000,50000,0.49671753416481074,0.49764565043894654,0.49644,0.4973479561316052,0.49794370133759236,21.851630687713623,9552,kip_m6,2026-09-10T15:40:12.164166
