pairwise_accuracy,mean_margin,median_margin,pct_tied,model,std_margin,pct_positive_margin
0.5028039550523897,5.079130486025741e-19,0.0,62.536630615815994,1-gram,,
0.5256888664010289,0.000153142391991229,0.00013816125807825097,0.0,2-gram,,
0.5220205342272257,0.0005011621684752993,0.0005183088827176441,0.0,3-gram,,
1.0,0.4248959422111511,0.4261758029460907,0.0,google-bert/bert-base-uncased,0.014873802661895752,100.0
