Task,ρ,Chance,BoE-key (6d),BoE-linear (26d),BoE-XGB (26d),1-gram,2-gram,3-gram,Best model,Best model AUC,AUC*,Δ content,Δ local order,Δ sequential
Tricky Det.,0.358,0.5,0.7736119529955051,0.8154815444114129,0.8158038733488878,0.8154322950007546,0.8208259240296282,0.81972075076144,BERT (0.999),0.999,1.0,0.3158038733488878,0.005022050680740353,0.17817407597037183
Tricky Rnd.,0.420,0.5,0.574263533404877,0.583881159453372,0.5840703818841844,0.5839640133322761,0.5845601179280966,0.5776684255448321,Transformer (0.671),0.671,0.67,0.08407038188418436,0.0004897360439122256,0.08643988207190345
Parity,0.501,0.5,0.5026512999279764,0.5006572893916397,0.5028096782825547,0.5006521829544137,0.49893784685690357,0.502442352404749,BERT (0.503),0.503,,0.0028096782825547395,0.0,0.00019032171744526316
