icd_code,icd_version,Description,classification
I6312,10,Cerebral infarction due to embolism of basilar artery,stroke
I63239,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery,stroke
I63132,10,Cerebral infarction due to embolism of left carotid artery,stroke
I63231,10,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries,stroke
I63232,10,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries,stroke
I63032,10,Cerebral infarction due to thrombosis of left carotid artery,stroke
I63139,10,Cerebral infarction due to embolism of unspecified carotid artery,stroke
I63131,10,Cerebral infarction due to embolism of right carotid artery,stroke
I63039,10,Cerebral infarction due to thrombosis of unspecified carotid artery,stroke
I63031,10,Cerebral infarction due to thrombosis of right carotid artery,stroke
I63219,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery,stroke
I63011,10,Cerebral infarction due to thrombosis of right vertebral artery,stroke
I63012,10,Cerebral infarction due to thrombosis of left vertebral artery,stroke
I63111,10,Cerebral infarction due to embolism of right vertebral artery,stroke
I63112,10,Cerebral infarction due to embolism of left vertebral artery,stroke
I63119,10,Cerebral infarction due to embolism of unspecified vertebral artery,stroke
I63211,10,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery,stroke
I63212,10,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery,stroke
I6319,10,Cerebral infarction due to embolism of other precerebral artery,stroke
I6309,10,Cerebral infarction due to thrombosis of other precerebral artery,stroke
I6320,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,stroke
I6310,10,Cerebral infarction due to embolism of unspecified precerebral artery,stroke
I6329,10,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries,stroke
I6300,10,Cerebral infarction due to thrombosis of unspecified precerebral artery,stroke
I63312,10,Cerebral infarction due to thrombosis of left middle cerebral artery,stroke
I63311,10,Cerebral infarction due to thrombosis of right middle cerebral artery,stroke
I636,10,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",stroke
I63331,10,Cerebral infarction due to thrombosis of right posterior cerebral artery,stroke
I6330,10,Cerebral infarction due to thrombosis of unspecified cerebral artery,stroke
I6339,10,Cerebral infarction due to thrombosis of other cerebral artery,stroke
I63341,10,Cerebral infarction due to thrombosis of right cerebellar artery,stroke
I63321,10,Cerebral infarction due to thrombosis of right anterior cerebral artery,stroke
I63332,10,Cerebral infarction due to thrombosis of left posterior cerebral artery,stroke
I63322,10,Cerebral infarction due to thrombosis of left anterior cerebral artery,stroke
I63349,10,Cerebral infarction due to thrombosis of unspecified cerebellar artery,stroke
I63319,10,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,stroke
I63342,10,Cerebral infarction due to thrombosis of left cerebellar artery,stroke
I63412,10,Cerebral infarction due to embolism of left middle cerebral artery,stroke
I6340,10,Cerebral infarction due to embolism of unspecified cerebral artery,stroke
I63411,10,Cerebral infarction due to embolism of right middle cerebral artery,stroke
I6349,10,Cerebral infarction due to embolism of other cerebral artery,stroke
I63432,10,Cerebral infarction due to embolism of left posterior cerebral artery,stroke
I63431,10,Cerebral infarction due to embolism of right posterior cerebral artery,stroke
I63442,10,Cerebral infarction due to embolism of left cerebellar artery,stroke
I63441,10,Cerebral infarction due to embolism of right cerebellar artery,stroke
I63422,10,Cerebral infarction due to embolism of left anterior cerebral artery,stroke
I63421,10,Cerebral infarction due to embolism of right anterior cerebral artery,stroke
I63449,10,Cerebral infarction due to embolism of unspecified cerebellar artery,stroke
I63439,10,Cerebral infarction due to embolism of unspecified posterior cerebral artery,stroke
I63419,10,Cerebral infarction due to embolism of unspecified middle cerebral artery,stroke
I63429,10,Cerebral infarction due to embolism of unspecified anterior cerebral artery,stroke
I639,10,"Cerebral infarction, unspecified",stroke
I638,10,Other cerebral infarction,stroke
I63512,10,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery,stroke
I63511,10,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery,stroke
