icd_code,icd_version
41001,9
41002,9
41010,9
41012,9
41011,9
41031,9
41032,9
41021,9
41022,9
41040,9
41042,9
41041,9
41051,9
41052,9
41061,9
41062,9
41082,9
41081,9
41090,9
41092,9
41091,9
41070,9
41072,9
41071,9
I2109,10
I2102,10
I2101,10
I220,10
I2111,10
I2119,10
I221,10
I2129,10
I2121,10
I228,10
I213,10
I229,10
I214,10
I222,10
I21A1,10
I21A9,10
I219,10
