encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.4973728236494363,0.4294257281110198,0.50004,0.49748796869215717,0.37774565313416053,1.3784198760986328,9551,kip_m4,2026-09-10T15:28:00.202001
basic,0.1,40000,50000,0.5008255724284976,0.5522347921186151,0.5005,0.4988339703310229,0.6184395454362929,1.6287047863006592,9551,kip_m4,2026-09-10T15:28:02.047176
basic,0.3,120000,50000,0.49521902642531146,0.49553374724614463,0.49624,0.4943061493586926,0.4967674577360157,2.4388415813446045,9551,kip_m4,2026-09-10T15:28:04.708059
basic,0.5,200000,50000,0.5001159361453491,0.49896683852588924,0.5005,0.4985567671584349,0.4993775850299161,3.476576566696167,9551,kip_m4,2026-09-10T15:28:08.406223
basic,0.75,300000,50000,0.5013170366271963,0.5116515682169481,0.50082,0.4989315423948714,0.5250371441191825,7.435701131820679,9551,kip_m4,2026-09-10T15:28:16.065865
basic,1.0,400000,50000,0.49848454838578526,0.4840311986863711,0.49724,0.4950665491035815,0.47347709111352043,5.535974740982056,9551,kip_m4,2026-09-10T15:28:21.823141
categorical,0.01,4000,50000,0.4998315582642108,0.4830482179426184,0.50018,0.49812286689419794,0.46885917359354295,4.313155651092529,9551,kip_m4,2026-09-10T15:28:26.352806
categorical,0.1,40000,50000,0.5005507010904745,0.5083832923832924,0.49978,0.4979208378253504,0.5192948640726017,4.36163067817688,9551,kip_m4,2026-09-10T15:28:30.936070
categorical,0.3,120000,50000,0.49760757198343164,0.48340803486985484,0.49748,0.4953022961870655,0.4720716379552664,5.367508411407471,9551,kip_m4,2026-09-10T15:28:36.521769
categorical,0.5,200000,50000,0.4973391447424206,0.4823570705923647,0.49858,0.4964300892477688,0.4690599526161507,6.108691453933716,9551,kip_m4,2026-09-10T15:28:42.848959
categorical,0.75,300000,50000,0.5013843288402401,0.5020233230339879,0.50038,0.49845617924154856,0.5056418905352769,4.9645676612854,9551,kip_m4,2026-09-10T15:28:48.033765
categorical,1.0,400000,50000,0.5068373477321677,0.485968514715948,0.50434,0.5025740025740025,0.47042524996988316,7.751332998275757,9551,kip_m4,2026-09-10T15:28:56.001680
tfidf,0.01,4000,50000,0.5041504968832402,0.3610637748515363,0.50508,0.5056772980400666,0.2807693852146328,6.845390558242798,9551,kip_m4,2026-09-10T15:29:03.063474
tfidf,0.1,40000,50000,0.4996570684373711,0.5209623310648902,0.50022,0.49842271293375395,0.5456370718387343,8.528122901916504,9551,kip_m4,2026-09-10T15:29:11.829083
tfidf,0.3,120000,50000,0.5005798871298528,0.5030633488648756,0.49874,0.4968666771110763,0.509416536160302,13.443023681640625,9551,kip_m4,2026-09-10T15:29:25.497982
tfidf,0.5,200000,50000,0.5025374477997542,0.5096453509014163,0.5028,0.5008334948633456,0.5187728386138216,14.694164752960205,9551,kip_m4,2026-09-10T15:29:40.422063
tfidf,0.75,300000,50000,0.5028485124826463,0.4990635006948221,0.50254,0.5006060606060606,0.49753041802192505,25.46629023551941,9551,kip_m4,2026-09-10T15:30:06.120993
tfidf,1.0,400000,50000,0.5069211921943958,0.5101572998181962,0.50424,0.5022372670324112,0.5183311247640846,21.566080808639526,9551,kip_m4,2026-09-10T15:30:27.925660
