encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.4992723000422521,0.4893160208567631,0.5005,0.5014668901927913,0.4777400678778199,1.3964159488677979,9551,kip_m6,2026-09-10T15:20:41.413550
basic,0.1,40000,50000,0.4998986300715615,0.49171338045332685,0.49948,0.5003927080319127,0.4833300059892194,1.5662617683410645,9551,kip_m6,2026-09-10T15:20:43.197084
basic,0.3,120000,50000,0.5029355191110819,0.5042339031794216,0.50352,0.5044152315499261,0.5040527051307646,2.5007503032684326,9551,kip_m6,2026-09-10T15:20:45.916897
basic,0.5,200000,50000,0.4989089244649153,0.48747292271222464,0.4984,0.49926744526769645,0.47622279896186864,3.536426544189453,9551,kip_m6,2026-09-10T15:20:49.670922
basic,0.75,300000,50000,0.49752105516821876,0.5641579809669885,0.49988,0.500603173621207,0.64619684567778,6.784250497817993,9551,kip_m6,2026-09-10T15:20:56.670994
basic,1.0,400000,50000,0.5041019828904245,0.5159430452482519,0.50298,0.5036890545371567,0.5288081453383909,6.272011995315552,9551,kip_m6,2026-09-10T15:21:03.158762
categorical,0.01,4000,50000,0.5009840951884684,0.5058800237576717,0.50084,0.5017082269782054,0.5101217807945698,2.5037450790405273,9551,kip_m6,2026-09-10T15:21:05.878076
categorical,0.1,40000,50000,0.4965991881813697,0.5023649785271824,0.4971,0.4980379846177994,0.5067678179277301,4.463359594345093,9551,kip_m6,2026-09-10T15:21:10.556809
categorical,0.3,120000,50000,0.49961501395264524,0.4932174478109008,0.50088,0.5018389189635936,0.4848872030345378,4.266513824462891,9551,kip_m6,2026-09-10T15:21:15.050069
categorical,0.5,200000,50000,0.4993541187073446,0.4994696287401181,0.49982,0.5007223113964687,0.4982231982431623,6.1816465854644775,9551,kip_m6,2026-09-10T15:21:21.474736
categorical,0.75,300000,50000,0.5045092746100497,0.5117400337109482,0.50176,0.5025599568849367,0.5212617288880016,5.674072980880737,9551,kip_m6,2026-09-10T15:21:27.368610
categorical,1.0,400000,50000,0.4975525616702998,0.47841995841995844,0.49824,0.4990674474083713,0.45941305649830305,6.900188684463501,9551,kip_m6,2026-09-10T15:21:34.499369
tfidf,0.01,4000,50000,0.5048819806176171,0.5002719526198103,0.50386,0.5048381850707432,0.49578758235176684,7.01683497428894,9551,kip_m6,2026-09-10T15:21:41.732614
tfidf,0.1,40000,50000,0.49848452948987554,0.44855587744710734,0.49748,0.4980262196013451,0.40802555400279494,8.599778890609741,9551,kip_m6,2026-09-10T15:21:50.560195
tfidf,0.3,120000,50000,0.5030966196330476,0.35377602817776854,0.50096,0.5034274342153755,0.2727091235775604,10.71885633468628,9551,kip_m6,2026-09-10T15:22:01.501665
tfidf,0.5,200000,50000,0.5005090376492818,0.5578481035000088,0.49898,0.4999050993293686,0.6309842283889,14.253684520721436,9551,kip_m6,2026-09-10T15:22:15.986141
tfidf,0.75,300000,50000,0.49995071104030375,0.5075072128123098,0.49814,0.4990735736894928,0.5162307845877421,16.564915657043457,9551,kip_m6,2026-09-10T15:22:32.787146
tfidf,1.0,400000,50000,0.5040215810299226,0.4805354573698367,0.50174,0.5028803351662738,0.46009183469754444,19.931968450546265,9551,kip_m6,2026-09-10T15:22:52.957323
