encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.5041548737491313,0.5516670565161848,0.50166,0.49977179370150615,0.6155884833152632,1.829841136932373,9550,kip_m4,2026-09-10T15:10:12.914027
basic,0.1,40000,50000,0.4987845569022335,0.4753438443475344,0.49952,0.49734567630412846,0.45520620005621815,1.7506296634674072,9550,kip_m4,2026-09-10T15:10:14.882030
basic,0.3,120000,50000,0.5003244808848651,0.4763839725195317,0.50002,0.4978984238178634,0.4566518090189937,2.52413272857666,9550,kip_m4,2026-09-10T15:10:17.623581
basic,0.5,200000,50000,0.5006934744398416,0.5453090618123625,0.49994,0.4983380974539653,0.6020559771915031,3.2374987602233887,9550,kip_m4,2026-09-10T15:10:21.085712
basic,0.75,300000,50000,0.502896724408448,0.4756558259291307,0.5031,0.5012900355871887,0.4525157611532747,4.584946632385254,9550,kip_m4,2026-09-10T15:10:25.894913
basic,1.0,400000,50000,0.5092633738545354,0.49152612093788567,0.50556,0.503815828308808,0.47982170822792436,6.454304218292236,9550,kip_m4,2026-09-10T15:10:32.569466
categorical,0.01,4000,50000,0.4995010316883315,0.46589402557413506,0.50044,0.4982847733613868,0.43745733445769586,1.8715040683746338,9550,kip_m4,2026-09-10T15:10:34.658261
categorical,0.1,40000,50000,0.5030707918289286,0.5122801519840182,0.50196,0.5000191168036704,0.5251576115327471,4.641390085220337,9550,kip_m4,2026-09-10T15:10:39.523210
categorical,0.3,120000,50000,0.4990855326332425,0.5017906884202149,0.4992,0.4972985763300075,0.5063646950166647,2.990478754043579,9550,kip_m4,2026-09-10T15:10:42.758619
categorical,0.5,200000,50000,0.4970612741592457,0.4968533290576021,0.49792,0.4959785522788204,0.4977311970445328,3.3301339149475098,9550,kip_m4,2026-09-10T15:10:46.308586
categorical,0.75,300000,50000,0.5005226566682826,0.5006766438465212,0.4982,0.4963109094495956,0.5051198650764968,7.018160581588745,9550,kip_m4,2026-09-10T15:10:53.542702
categorical,1.0,400000,50000,0.5039653484959423,0.5018684678563577,0.50146,0.4995226350544992,0.5042364373770228,12.541151285171509,9550,kip_m4,2026-09-10T15:11:06.325416
tfidf,0.01,4000,50000,0.5022100628711705,0.5634425060442141,0.49802,0.4969929426204357,0.6504035658354416,4.495869398117065,9550,kip_m4,2026-09-10T15:11:11.038312
tfidf,0.1,40000,50000,0.501984902681519,0.49826322658367633,0.50022,0.49827323106577787,0.49825322250331283,9.062079906463623,9550,kip_m4,2026-09-10T15:11:20.321341
tfidf,0.3,120000,50000,0.5024509344973483,0.49103707947941394,0.50256,0.5006467765491341,0.48178934264948,14.782554626464844,9550,kip_m4,2026-09-10T15:11:35.336962
tfidf,0.5,200000,50000,0.49922468992817204,0.49203805505406006,0.49918,0.49717143559891774,0.48700959723728066,12.882878541946411,9550,kip_m4,2026-09-10T15:11:48.450052
tfidf,0.75,300000,50000,0.5005682061540028,0.49185992154631003,0.49998,0.497983373117129,0.4858852347106774,21.09190607070923,9550,kip_m4,2026-09-10T15:12:09.808944
tfidf,1.0,400000,50000,0.5046961890983093,0.5100907973514135,0.50576,0.5037393789889972,0.5166044251696583,22.5835862159729,9550,kip_m4,2026-09-10T15:12:32.624146
