encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.498380197214841,0.4828241123038811,0.49896,0.49683477078642135,0.46958197807493074,1.3993699550628662,9552,kip_m4,2026-09-10T15:30:37.935832
basic,0.1,40000,50000,0.5017062168860714,0.5041302621127879,0.50056,0.4986447735396944,0.5097377825964743,1.839785099029541,9552,kip_m4,2026-09-10T15:30:39.991985
basic,0.3,120000,50000,0.4977252457549397,0.4835237348950386,0.49908,0.49696918316307065,0.47078665221057703,7.088021993637085,9552,kip_m4,2026-09-10T15:30:47.310025
basic,0.5,200000,50000,0.4981714124717118,0.49565688378904293,0.49718,0.49522969614367035,0.4960848090591495,4.860562324523926,9552,kip_m4,2026-09-10T15:30:52.387331
basic,0.75,300000,50000,0.5004219271518602,0.49730317179198197,0.50044,0.4984869880976397,0.496124964863671,4.547128915786743,9552,kip_m4,2026-09-10T15:30:57.153369
basic,1.0,400000,50000,0.49852754743311006,0.4795166213326135,0.49866,0.4964743314128472,0.4636790748102638,10.270872116088867,9552,kip_m4,2026-09-10T15:31:07.671276
categorical,0.01,4000,50000,0.49825638175087333,0.5140121438580103,0.50056,0.49869717910955025,0.5302975545115046,4.339047908782959,9552,kip_m4,2026-09-10T15:31:12.227949
categorical,0.1,40000,50000,0.4975603992732747,0.5006564551422319,0.49796,0.49607758110931527,0.5053206440991045,4.6513543128967285,9552,kip_m4,2026-09-10T15:31:17.097042
categorical,0.3,120000,50000,0.49933967165915305,0.5037841264809605,0.49908,0.49720386375190645,0.5105408986869052,2.6394362449645996,9552,kip_m4,2026-09-10T15:31:19.956711
categorical,0.5,200000,50000,0.5015992144752144,0.49971771917090085,0.50376,0.5018426274652735,0.49761072963096814,3.5551180839538574,9552,kip_m4,2026-09-10T15:31:23.737396
categorical,0.75,300000,50000,0.4967948181479103,0.5084099662029395,0.49964,0.49778752549155414,0.5194956430952095,4.3339316844940186,9552,kip_m4,2026-09-10T15:31:28.288810
categorical,1.0,400000,50000,0.4990202540505126,0.49528282949937774,0.49712,0.4951635560907084,0.49540216038228324,5.83353590965271,9552,kip_m4,2026-09-10T15:31:34.342222
tfidf,0.01,4000,50000,0.4997428033280584,0.5060699079116744,0.50118,0.49925758049390434,0.5130707143717624,7.029136419296265,9552,kip_m4,2026-09-10T15:31:41.586889
tfidf,0.1,40000,50000,0.5030763359123913,0.3498313593222998,0.50266,0.5013489208633094,0.2686423322491266,8.234883069992065,9552,kip_m4,2026-09-10T15:31:50.042988
tfidf,0.3,120000,50000,0.5022800159242717,0.47673079741243957,0.5001,0.4979881035689293,0.4572139902822953,12.312949657440186,9552,kip_m4,2026-09-10T15:32:02.587551
tfidf,0.5,200000,50000,0.4972010506634971,0.5311036040239646,0.49754,0.49616403961500904,0.5713367867325222,12.799651622772217,9552,kip_m4,2026-09-10T15:32:15.613785
tfidf,0.75,300000,50000,0.5058094978585046,0.5061816452686638,0.50152,0.49958934647424613,0.5129502469581978,18.941941738128662,9552,kip_m4,2026-09-10T15:32:34.792245
tfidf,1.0,400000,50000,0.502533344537982,0.5043259838124476,0.50272,0.5007720020586721,0.5079307713930049,25.869999408721924,9552,kip_m4,2026-09-10T15:33:00.895955
