encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.499793044129463,0.47344685155525584,0.50028,0.5013165528629446,0.44851267718107407,1.5373637676239014,9551,kip_m6,2026-09-10T15:35:36.855127
basic,0.1,40000,50000,0.4976114058609549,0.5069231374400126,0.4986,0.49951548509632154,0.5145538031543222,1.6092143058776855,9551,kip_m6,2026-09-10T15:35:38.680812
basic,0.3,120000,50000,0.5024969480901118,0.46872664374639644,0.50242,0.5038101358795446,0.4382112198043522,2.418593645095825,9551,kip_m6,2026-09-10T15:35:41.315188
basic,0.5,200000,50000,0.49660305219388906,0.5228256741359666,0.49744,0.4984971935542278,0.5496506288680375,3.21105694770813,9551,kip_m6,2026-09-10T15:35:44.748222
basic,0.75,300000,50000,0.49825260633844454,0.5124385869141387,0.49984,0.5007048424581857,0.5247354761429427,4.293878555297852,9551,kip_m6,2026-09-10T15:35:49.260217
basic,1.0,400000,50000,0.5037676938073279,0.45214325068870526,0.50282,0.5045745204131825,0.40958275104811337,8.058227062225342,9551,kip_m6,2026-09-10T15:35:57.536698
categorical,0.01,4000,50000,0.5026928831249413,0.5227582761734586,0.50322,0.5038145322568699,0.543182271910561,2.291389226913452,9551,kip_m6,2026-09-10T15:36:00.045099
categorical,0.1,40000,50000,0.5024543071519552,0.5062835915270313,0.50028,0.5011540116574736,0.5115192653224196,2.3366165161132812,9551,kip_m6,2026-09-10T15:36:02.603025
categorical,0.3,120000,50000,0.4986750445071442,0.5019795086043967,0.49934,0.5002379064234734,0.5037332800958275,5.630544185638428,9551,kip_m6,2026-09-10T15:36:08.452594
categorical,0.5,200000,50000,0.5079526721666578,0.5069192422731804,0.50544,0.5063134833698466,0.5075264523857057,6.171223402023315,9551,kip_m6,2026-09-10T15:36:14.845240
categorical,0.75,300000,50000,0.5015453490069308,0.5059833144176971,0.50378,0.5046469139725157,0.5073268117388701,5.607488632202148,9551,kip_m6,2026-09-10T15:36:20.698156
categorical,1.0,400000,50000,0.49919126057968427,0.5259620678526,0.50062,0.5013754162443897,0.5530844479936114,5.158022403717041,9551,kip_m6,2026-09-10T15:36:26.076179
tfidf,0.01,4000,50000,0.49740400198896634,0.4853713273898989,0.5001,0.5010627444312192,0.4706328608504692,5.475665330886841,9551,kip_m6,2026-09-10T15:36:31.766916
tfidf,0.1,40000,50000,0.49845879900650875,0.4537987679671458,0.49992,0.5009887618772007,0.41473347973647434,5.958804368972778,9551,kip_m6,2026-09-10T15:36:37.947891
tfidf,0.3,120000,50000,0.5015271161478564,0.5471502590673575,0.50182,0.5022696929238986,0.6008384907167099,11.40445327758789,9551,kip_m6,2026-09-10T15:36:49.583768
tfidf,0.5,200000,50000,0.5022627961314594,0.4584558423173255,0.5027,0.5043124101581217,0.42024356158913956,11.920304298400879,9551,kip_m6,2026-09-10T15:37:01.730091
tfidf,0.75,300000,50000,0.5010775834913705,0.5571964244459846,0.50166,0.502049574072888,0.6259532840886405,19.396541595458984,9551,kip_m6,2026-09-10T15:37:21.359867
tfidf,1.0,400000,50000,0.5010512538060623,0.5117697661687651,0.50056,0.5013983067080412,0.5225793571571172,22.353073120117188,9551,kip_m6,2026-09-10T15:37:43.950228
