timestamp,model,training_mode,task,seed,train_rows,epochs_done,best_epoch,val_f1,val_auc,val_loss,test_auc_obs,test_auc_latent,test_f1,test_precision,test_recall,threshold,n_params,recipe,wallclock_s,checkpoint,smoke,host
2026-08-26T15:05:29,LSTM,scratch,ocdet,9550,2000,6,6,0.558491,0.778812,0.530566,0.800445,0.800445,0.514925,0.575,0.466216,argmax,216130,"LSTM {'vocab_size': 26, 'embedding_dim': 32, 'hidden_dim': 128, 'num_layers': 2, 'num_classes': 2, 'dropout': 0.2} lr=0.002 Adam bs=64 patience=5 early=val_f1 [paper NLDL tab:dl_optimal (code OPTIMAL_CONFIGS differs: emb64/drop0.5/lr5e-4 - recorded deviation)]",3.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/lstm/seed_9550_smoke,True,plain-work-runs-fin-03
2026-08-26T15:07:51,count26,baseline,ocdet,9550,2000,1,1,,,,0.756334,0.756334,,,,n/a,26,logreg on count26 (phase2 settings),0.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/count26_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:07:51,lag_pair,baseline,ocdet,9550,2000,1,1,,,,0.984471,0.984471,,,,n/a,676,logreg on lag_pair (phase2 settings),0.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/lag_pair_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:07:51,all_offset_pair,baseline,ocdet,9550,2000,1,1,,,,0.849086,0.849086,,,,n/a,12844,logreg on all_offset_pair (phase2 settings),0.4,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/all_offset_pair_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:08:01,all_offset_pair_xgb,baseline,ocdet,9550,2000,1,1,,,,0.978415,0.978415,,,,n/a,0,xgb on all_offset_pair_xgb (phase2 settings),9.4,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/all_offset_pair_xgb_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:08:01,pos_lag_pair,baseline,ocdet,9550,2000,1,1,,,,0.725622,0.725622,,,,n/a,8788,logreg on pos_lag_pair (phase2 settings),0.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/pos_lag_pair_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:08:01,lag_trigram,baseline,ocdet,9550,2000,1,1,,,,0.6634,0.6634,,,,n/a,17576,logreg on lag_trigram (phase2 settings),0.1,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/lag_trigram_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:08:01,lag_trigram_key,baseline,ocdet,9550,2000,1,1,,,,0.500643,0.500643,,,,n/a,216,logreg on lag_trigram_key (phase2 settings),0.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/lag_trigram_key_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:08:01,kgram1,baseline,ocdet,9550,2000,1,1,,,,0.763014,0.763014,,,,n/a,26,contiguous 1-gram probability averaging (signal_decomposition.kgram_baseline),0.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/kgram1_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:08:01,kgram2,baseline,ocdet,9550,2000,1,1,,,,0.73689,0.73689,,,,n/a,676,contiguous 2-gram probability averaging (signal_decomposition.kgram_baseline),0.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/kgram2_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:08:01,kgram3,baseline,ocdet,9550,2000,1,1,,,,0.566512,0.566512,,,,n/a,15311,contiguous 3-gram probability averaging (signal_decomposition.kgram_baseline),0.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/kgram3_smoke.joblib,True,plain-work-runs-fin-03
2026-08-26T15:11:59,count26,baseline,ocdet,9550,400000,1,1,,,,0.750822,0.750822,,,,n/a,26,logreg on count26 (phase2 settings),3.5,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/count26.joblib,False,plain-work-runs-fin-03
2026-08-26T15:11:59,count26,baseline,ocnoisy,9550,400000,1,1,,,,0.58854,0.751328,,,,n/a,26,logreg on count26 (phase2 settings),3.7,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/count26.joblib,False,plain-work-runs-fin-03
2026-08-26T15:12:05,lag_pair,baseline,ocnoisy,9550,400000,1,1,,,,0.667258,0.994944,,,,n/a,676,logreg on lag_pair (phase2 settings),6.4,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/lag_pair.joblib,False,plain-work-runs-fin-03
2026-08-26T15:12:06,lag_pair,baseline,ocdet,9550,400000,1,1,,,,0.996573,0.996573,,,,n/a,676,logreg on lag_pair (phase2 settings),7.1,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/lag_pair.joblib,False,plain-work-runs-fin-03
2026-08-26T15:13:17,all_offset_pair,baseline,ocnoisy,9550,400000,1,1,,,,0.661774,0.977524,,,,n/a,12844,logreg on all_offset_pair (phase2 settings),71.7,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/all_offset_pair.joblib,False,plain-work-runs-fin-03
2026-08-26T15:13:18,all_offset_pair,baseline,ocdet,9550,400000,1,1,,,,0.998522,0.998522,,,,n/a,12844,logreg on all_offset_pair (phase2 settings),72.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/all_offset_pair.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:19,all_offset_pair_xgb,baseline,ocdet,9550,400000,1,1,,,,0.999882,0.999882,,,,n/a,0,xgb on all_offset_pair_xgb (phase2 settings),121.2,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/all_offset_pair_xgb.joblib,False,plain-work-runs-fin-03
