encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.5026925511238656,0.4163779380091769,0.5014,0.5032539188500934,0.35508085446196846,1.451188564300537,9550,kip_m6,2026-09-10T15:18:02.694916
basic,0.1,40000,50000,0.5039375519576683,0.5324297795228028,0.5046,0.50492284558376,0.5631064084647635,4.909235000610352,9550,kip_m6,2026-09-10T15:18:07.821213
basic,0.3,120000,50000,0.5032564457508842,0.5169191479482268,0.50062,0.5014263193453945,0.5333998802156119,5.606598854064941,9550,kip_m6,2026-09-10T15:18:13.659309
basic,0.5,200000,50000,0.497693637327385,0.5026954982195787,0.50002,0.5009118300031716,0.5044919145538032,4.180329322814941,9550,kip_m6,2026-09-10T15:18:18.092263
basic,0.75,300000,50000,0.5008378291145663,0.4653827244939401,0.49978,0.5007820406661146,0.4346576162906768,9.380429983139038,9550,kip_m6,2026-09-10T15:18:27.719402
basic,1.0,400000,50000,0.5044760289023336,0.42213343244750046,0.50248,0.5046936621674165,0.3627869834298263,7.768513202667236,9550,kip_m6,2026-09-10T15:18:35.705872
categorical,0.01,4000,50000,0.5014643783445859,0.4892236955540047,0.50232,0.503400498458159,0.47582351766819725,4.296154975891113,9550,kip_m6,2026-09-10T15:18:40.217624
categorical,0.1,40000,50000,0.501672796619861,0.4907409297862349,0.50114,0.5021308598646277,0.4798562587342783,4.733214855194092,9550,kip_m6,2026-09-10T15:18:45.165734
categorical,0.3,120000,50000,0.5063738382512359,0.5321891656900919,0.505,0.5052941387602742,0.5621082052305849,4.092268466949463,9550,kip_m6,2026-09-10T15:18:49.475644
categorical,0.5,200000,50000,0.5007438960102231,0.5029813540731878,0.50154,0.5024302788844621,0.5035336394489918,6.394088268280029,9550,kip_m6,2026-09-10T15:18:56.089267
categorical,0.75,300000,50000,0.5004382598199618,0.5108799968662475,0.50054,0.5013839766261725,0.5207426632062288,7.903742790222168,9550,kip_m6,2026-09-10T15:19:04.210924
categorical,1.0,400000,50000,0.499854351528099,0.5078088026502603,0.5008,0.5016558226516539,0.5141145937312837,6.355348587036133,9550,kip_m6,2026-09-10T15:19:10.782831
tfidf,0.01,4000,50000,0.49787930192893826,0.46490797807681644,0.49818,0.49894717568433583,0.4352166101018167,7.051276683807373,9550,kip_m6,2026-09-10T15:19:18.051160
tfidf,0.1,40000,50000,0.49785814186037963,0.5247541635877906,0.49834,0.49931492031441554,0.552924735476143,8.646708250045776,9550,kip_m6,2026-09-10T15:19:26.925750
tfidf,0.3,120000,50000,0.503149653404877,0.5475377687391052,0.50164,0.502114763379625,0.601996406468357,9.056097030639648,9550,kip_m6,2026-09-10T15:19:36.207233
tfidf,0.5,200000,50000,0.501481674400625,0.3380928501675948,0.49842,0.49867642478978513,0.25573966859652625,14.43192434310913,9550,kip_m6,2026-09-10T15:19:50.862940
tfidf,0.75,300000,50000,0.4996662485186452,0.40750898430111593,0.4988,0.4995652425946322,0.3441006188860052,17.914201974868774,9550,kip_m6,2026-09-10T15:20:09.006947
tfidf,1.0,400000,50000,0.49831449453896237,0.44641439534268323,0.49792,0.49854701275673546,0.40415252545418245,22.113547325134277,9550,kip_m6,2026-09-10T15:20:31.356449
