encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.5036281674198836,0.4767022823544288,0.50338,0.5015965939329431,0.454162149138658,2.988922119140625,9550,kip_m4,2026-09-10T15:25:32.979877
basic,0.1,40000,50000,0.4989847511160372,0.4443555199857721,0.50012,0.4977339508939688,0.40131711038830664,1.8094627857208252,9550,kip_m4,2026-09-10T15:25:35.006925
basic,0.3,120000,50000,0.49533905143221585,0.5155397253978284,0.49402,0.49275203162749837,0.5405372846644982,2.5141615867614746,9550,kip_m4,2026-09-10T15:25:37.740573
basic,0.5,200000,50000,0.5006671668437965,0.3641096309906599,0.50164,0.4994749002310439,0.286471509456692,3.388315439224243,9550,kip_m4,2026-09-10T15:25:41.342786
basic,0.75,300000,50000,0.49448138892062143,0.45495554109737585,0.49736,0.49460083934549914,0.4211942336264707,4.32231879234314,9550,kip_m4,2026-09-10T15:25:45.884657
basic,1.0,400000,50000,0.5024085210588395,0.41730661172504213,0.50224,0.5004211353809871,0.3578685298959965,4.906890630722046,9550,kip_m4,2026-09-10T15:25:51.006063
categorical,0.01,4000,50000,0.5012023877012254,0.48668435231455776,0.50078,0.49877760917214636,0.4751636349034253,1.2950844764709473,9550,kip_m4,2026-09-10T15:25:52.518656
categorical,0.1,40000,50000,0.4979960842322505,0.47548098994198906,0.49728,0.49493896346496374,0.4574950809139461,3.8910481929779053,9550,kip_m4,2026-09-10T15:25:56.641334
categorical,0.3,120000,50000,0.5005198534260813,0.5184542069417916,0.50082,0.4989601901366607,0.5395333895514597,2.6707472801208496,9550,kip_m4,2026-09-10T15:25:59.527820
categorical,0.5,200000,50000,0.49999820957304614,0.5263257432483547,0.49908,0.4974439638222572,0.5587680199172791,6.041975736618042,9550,kip_m4,2026-09-10T15:26:05.785638
categorical,0.75,300000,50000,0.5004057405081799,0.4990810865394325,0.50394,0.5020315293352836,0.49616512066819257,9.344750881195068,9550,kip_m4,2026-09-10T15:26:15.349913
categorical,1.0,400000,50000,0.5010671032645994,0.5160153375421201,0.50016,0.4983355152421919,0.5349957836405252,7.693598031997681,9550,kip_m4,2026-09-10T15:26:23.260661
tfidf,0.01,4000,50000,0.5017436934502587,0.5735525865022267,0.50208,0.50010454939212,0.6722884792996827,4.351280450820923,9550,kip_m4,2026-09-10T15:26:27.827062
tfidf,0.1,40000,50000,0.49894742095405403,0.5044049810932272,0.49934,0.4974617307091534,0.5115447937999438,5.9679858684539795,9550,kip_m4,2026-09-10T15:26:34.028459
tfidf,0.3,120000,50000,0.4970248520109321,0.4885377753281483,0.4989,0.4968443780102973,0.4805043569047906,9.238986730575562,9550,kip_m4,2026-09-10T15:26:43.499916
tfidf,0.5,200000,50000,0.5000038376577737,0.49019527571949073,0.50188,0.4999373721347752,0.4808256033409629,20.0811185836792,9550,kip_m4,2026-09-10T15:27:03.842071
tfidf,0.75,300000,50000,0.5003962587654379,0.5172227995227648,0.49824,0.4965820492923918,0.5396538569650243,22.09170651435852,9550,kip_m4,2026-09-10T15:27:26.169413
tfidf,1.0,400000,50000,0.5038196615027122,0.5073711289205501,0.5021,0.5001560549313359,0.5147974139661888,23.78664207458496,9550,kip_m4,2026-09-10T15:27:50.194166
